,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_Perc_Change,Trend
140,2019-04-05,1837.28,1829.0,1838.58,1825.19,3.64,4,2019,-0.0068005146335398114,Slight or No change
141,2019-04-04,1818.86,1820.65,1828.75,1804.2,3.62,4,2019,-0.010025690150657574,Slight or No change
142,2019-04-03,1820.7,1826.72,1830.0,1809.62,3.98,4,2019,0.0010116226647460813,Slight or No change
143,2019-04-02,1813.98,1811.02,1820.0,1805.12,3.45,4,2019,-0.0036908881199538834,Slight or No change
144,2019-04-01,1814.19,1800.11,1815.67,1798.73,4.24,4,2019,0.00011576753878217438,Slight or No change
145,2019-03-29,1780.75,1786.58,1792.86,1776.63,3.32,3,2019,-0.01843246848455793,Slight or No change
146,2019-03-28,1773.42,1770.0,1777.93,1753.47,3.04,3,2019,-0.004116243155973587,Slight or No change
147,2019-03-27,1765.7,1784.13,1787.5,1745.68,4.32,3,2019,-0.004353170709702203,Slight or No change
148,2019-03-26,1783.76,1793.0,1805.77,1773.36,4.87,3,2019,0.010228238092541142,Slight or No change
149,2019-03-25,1774.26,1757.79,1782.68,1747.5,5.1,3,2019,-0.0053258285868054145,Slight or No change
150,2019-03-22,1764.77,1810.17,1818.98,1763.11,6.36,3,2019,-0.005348708757453857,Slight or No change
151,2019-03-21,1819.26,1796.26,1823.75,1787.28,5.77,3,2019,0.030876544818871476,Slight or No change
152,2019-03-20,1797.27,1769.94,1799.5,1767.03,6.27,3,2019,-0.012087332211998314,Slight or No change
153,2019-03-19,1761.85,1753.51,1784.16,1753.51,6.36,3,2019,-0.019707667740517576,Slight or No change
154,2019-03-18,1742.15,1712.7,1750.0,1712.63,5.43,3,2019,-0.011181428611970246,Slight or No change
155,2019-03-15,1712.36,1703.0,1718.8,1693.13,7.55,3,2019,-0.017099560887409382,Slight or No change
156,2019-03-14,1686.22,1691.2,1702.0,1684.34,2.95,3,2019,-0.015265481557616312,Slight or No change
157,2019-03-13,1690.81,1683.0,1700.0,1679.35,3.55,3,2019,0.002722064736511154,Slight or No change
158,2019-03-12,1673.1,1669.0,1684.27,1660.98,3.61,3,2019,-0.010474269728709906,Slight or No change
159,2019-03-11,1670.62,1626.12,1672.29,1626.01,3.88,3,2019,-0.0014822784053553084,Slight or No change
160,2019-03-08,1620.8,1604.01,1622.72,1586.57,4.67,3,2019,-0.02982126396188234,Slight or No change
161,2019-03-07,1625.95,1667.37,1669.75,1620.51,4.96,3,2019,0.0031774432379072515,Slight or No change
162,2019-03-06,1668.95,1695.97,1697.75,1668.28,4.0,3,2019,0.02644607767766538,Slight or No change
163,2019-03-05,1692.43,1702.95,1707.8,1689.01,3.68,3,2019,0.014068725845591601,Slight or No change
164,2019-03-04,1696.17,1685.0,1709.43,1674.36,6.17,3,2019,0.0022098402888155455,Slight or No change
165,2019-03-01,1671.73,1655.13,1674.26,1651.0,4.97,3,2019,-0.014408933066850649,Slight or No change
166,2019-02-28,1639.83,1635.25,1651.77,1633.83,3.03,2,2019,-0.019082028796516215,Slight or No change
167,2019-02-27,1641.09,1628.18,1641.81,1615.1,3.15,2,2019,0.0007683723312781332,Slight or No change
168,2019-02-26,1636.4,1625.98,1639.99,1616.13,2.67,2,2019,-0.0028578566684336337,Slight or No change
169,2019-02-25,1633.0,1641.45,1654.6,1630.39,3.18,2,2019,-0.0020777316059643613,Slight or No change
